feature,monotonicity
loan_amnt,0
funded_amnt,0
term,0
int_rate,-1
installment,0
grade,0
sub_grade,0
emp_length,0
home_ownership,0
annual_inc,0
verification_status,0
purpose,0
dti,-1
delinq_2yrs,0
inq_last_6mths,0
mths_since_last_delinq,0
mths_since_last_record,0
open_acc,0
pub_rec,0
revol_bal,0
revol_util,0
total_acc,0
initial_list_status,0
collections_12_mths_ex_med,0
mths_since_last_major_derog,0
application_type,0
annual_inc_joint,0
dti_joint,0
verification_status_joint,0
acc_now_delinq,0
tot_coll_amt,0
tot_cur_bal,0
open_acc_6m,0
open_act_il,0
open_il_12m,0
open_il_24m,0
mths_since_rcnt_il,0
total_bal_il,0
il_util,0
open_rv_12m,0
open_rv_24m,0
max_bal_bc,0
all_util,0
total_rev_hi_lim,0
inq_fi,0
total_cu_tl,0
inq_last_12m,0
acc_open_past_24mths,0
avg_cur_bal,0
bc_open_to_buy,0
bc_util,0
chargeoff_within_12_mths,0
delinq_amnt,0
mo_sin_old_il_acct,0
mo_sin_old_rev_tl_op,0
mo_sin_rcnt_rev_tl_op,0
mo_sin_rcnt_tl,0
mort_acc,0
mths_since_recent_bc,0
mths_since_recent_bc_dlq,0
mths_since_recent_inq,0
mths_since_recent_revol_delinq,0
num_accts_ever_120_pd,0
num_actv_bc_tl,0
num_actv_rev_tl,0
num_bc_sats,0
num_bc_tl,0
num_il_tl,0
num_op_rev_tl,0
num_rev_accts,0
num_rev_tl_bal_gt_0,0
num_sats,0
num_tl_120dpd_2m,0
num_tl_30dpd,0
num_tl_90g_dpd_24m,0
num_tl_op_past_12m,0
pct_tl_nvr_dlq,0
percent_bc_gt_75,0
pub_rec_bankruptcies,0
tax_liens,0
tot_hi_cred_lim,0
total_bal_ex_mort,0
total_bc_limit,0
total_il_high_credit_limit,0
revol_bal_joint,0
sec_app_fico_range_low,0
sec_app_fico_range_high,0
sec_app_earliest_cr_line,0
sec_app_inq_last_6mths,0
sec_app_mort_acc,0
sec_app_open_acc,0
sec_app_revol_util,0
sec_app_open_act_il,0
sec_app_num_rev_accts,0
sec_app_chargeoff_within_12_mths,0
sec_app_collections_12_mths_ex_med,0
sec_app_mths_since_last_major_derog,0
payment_plan_start_date,0
orig_projected_additional_accrued_interest,0
disbursement_method,0
all_util_missing,0
annual_inc_joint_missing,0
avg_cur_bal_missing,0
bc_open_to_buy_missing,0
bc_util_missing,0
deferral_term_missing,0
dti_joint_missing,0
emp_length_missing,0
il_util_missing,0
inq_fi_missing,0
inq_last_12m_missing,0
max_bal_bc_missing,0
mo_sin_old_il_acct_missing,0
mo_sin_old_rev_tl_op_missing,0
mo_sin_rcnt_rev_tl_op_missing,0
mo_sin_rcnt_tl_missing,0
mths_since_last_delinq_missing,0
mths_since_last_major_derog_missing,0
mths_since_last_record_missing,0
mths_since_rcnt_il_missing,0
mths_since_recent_bc_missing,0
mths_since_recent_bc_dlq_missing,0
mths_since_recent_inq_missing,0
mths_since_recent_revol_delinq_missing,0
next_pymnt_d_missing,0
num_accts_ever_120_pd_missing,0
num_actv_bc_tl_missing,0
num_actv_rev_tl_missing,0
num_bc_sats_missing,0
num_bc_tl_missing,0
num_il_tl_missing,0
num_op_rev_tl_missing,0
num_rev_accts_missing,0
num_rev_tl_bal_gt_0_missing,0
num_sats_missing,0
num_tl_120dpd_2m_missing,0
num_tl_30dpd_missing,0
num_tl_90g_dpd_24m_missing,0
num_tl_op_past_12m_missing,0
open_acc_6m_missing,0
open_act_il_missing,0
open_il_12m_missing,0
open_il_24m_missing,0
open_rv_12m_missing,0
open_rv_24m_missing,0
orig_projected_additional_accrued_interest_missing,0
payment_plan_start_date_missing,0
pct_tl_nvr_dlq_missing,0
percent_bc_gt_75_missing,0
revol_bal_joint_missing,0
sec_app_chargeoff_within_12_mths_missing,0
sec_app_collections_12_mths_ex_med_missing,0
sec_app_earliest_cr_line_missing,0
sec_app_fico_range_high_missing,0
sec_app_fico_range_low_missing,0
sec_app_inq_last_6mths_missing,0
sec_app_mort_acc_missing,0
sec_app_mths_since_last_major_derog_missing,0
sec_app_num_rev_accts_missing,0
sec_app_open_acc_missing,0
sec_app_open_act_il_missing,0
sec_app_revol_util_missing,0
tot_coll_amt_missing,0
tot_cur_bal_missing,0
tot_hi_cred_lim_missing,0
total_bal_il_missing,0
total_cu_tl_missing,0
total_il_high_credit_limit_missing,0
total_rev_hi_lim_missing,0
verification_status_joint_missing,0
credit_age_months,1
loan_to_income,-1
installment_to_income,-1
fico_mid,1
fico_spread,0
rev_util_ratio,0
dti_inv,0
inq_ratio,0
int_minus_subgrade_mean,0
grade_term,0
purpose_emp_len,0
fico_mid_sq,0
log_loan_sq,0
