number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_gain_to_split,params_num_leaves,params_reg_alpha,params_reg_lambda,system_attrs_fixed_params,state
0,0.7429681034643139,2025-07-11 16:32:43.106405,2025-07-11 16:35:24.352278,0 days 00:02:41.245873,0.9,1.0,0.9,0.05,-1.0,200.0,0.001,0.0010253509690168491,31,0.001,0.001,"{'learning_rate': 0.05, 'num_leaves': 31, 'max_depth': -1, 'min_child_samples': 200, 'min_child_weight': 0.001, 'feature_fraction': 0.9, 'bagging_fraction': 0.9, 'bagging_freq': 1, 'reg_alpha': 0.001, 'reg_lambda': 0.001, 'scale_pos_weight': 3.893988825463769}",COMPLETE
1,0.741034522305803,2025-07-11 16:35:24.355236,2025-07-11 16:38:02.102515,0 days 00:02:37.747279,0.7637017332034828,2.0,0.9497327922401265,0.07622471734080181,-1.0,354.0,0.09644921218755018,0.008148293210105292,145,0.0012087541473056963,7.5794799533480015,,COMPLETE
2,0.74359611308084,2025-07-11 16:38:02.103743,2025-07-11 16:41:20.343468,0 days 00:03:18.239725,0.8542703315240835,4.0,0.7599021346475079,0.035912516726440115,11.0,98.0,0.009212515846231667,0.0009745399020374089,58,0.06672367170464209,1.3826232179369866,,COMPLETE
3,0.7436108589285254,2025-07-11 16:41:20.346570,2025-07-11 16:45:13.616511,0 days 00:03:53.269941,0.848553073033381,1.0,0.7366114704534336,0.03139841158822449,11.0,333.0,0.01012836139291749,0.00018349072049055458,111,0.5456725485601478,0.057624872164786005,,COMPLETE
4,0.7425008553258466,2025-07-11 16:45:13.617712,2025-07-11 16:48:07.201429,0 days 00:02:53.583717,0.976562270506935,1.0,0.8793699936433256,0.0731919492782672,-1.0,114.0,1.5871864221639735,0.012361188797337346,53,5.727904470799624,3.795853142670642,,COMPLETE
5,0.7437682648512794,2025-07-11 16:48:07.204596,2025-07-11 16:53:38.300046,0 days 00:05:31.095450,0.9960660809801551,5.0,0.7223651931039312,0.036358321548518174,11.0,175.0,0.008460056107201557,0.002915549705917701,34,0.003661819220392431,1.6172900811143147,,COMPLETE
6,0.7436086724876548,2025-07-11 16:53:38.301258,2025-07-11 16:58:55.665269,0 days 00:05:17.364011,0.7190675050858071,2.0,0.7992694074557948,0.036455908174066666,-1.0,75.0,0.015251273957388446,0.0002054599206680897,31,2.8340904295147755,0.3113095956122124,,COMPLETE
7,0.743051190854306,2025-07-11 16:58:55.668830,2025-07-11 17:02:47.911340,0 days 00:03:52.242510,0.8282623055075649,1.0,0.8568198488145982,0.0412704478947226,7.0,300.0,0.3246192467974539,0.00327242966059094,144,1.2130221181165166,0.09444574254983562,,COMPLETE
8,0.7433934003807657,2025-07-11 17:02:47.912519,2025-07-11 17:07:29.066886,0 days 00:04:41.154367,0.7483663861762013,6.0,0.7869254358741303,0.03334875530266993,11.0,137.0,0.022630092996142572,0.010944851153312049,33,0.008226074946221037,0.0020319809838424984,,COMPLETE
9,0.7422569486526628,2025-07-11 17:07:29.070764,2025-07-11 17:10:14.222471,0 days 00:02:45.151707,0.8281323365878769,5.0,0.7683805487625824,0.06627584419768909,11.0,239.0,0.46279021928817266,0.026213411167791627,117,0.018707420137660268,0.002755546207779663,,COMPLETE
10,0.7437610061174772,2025-07-11 17:10:14.223685,2025-07-11 17:15:42.583363,0 days 00:05:28.359678,0.9475855408330071,5.0,0.7533024174075329,0.03643784684990826,11.0,323.0,0.03338454004271193,0.019039584728444026,33,0.009227922837250737,3.179783403328934,,COMPLETE
11,0.7439425345722844,2025-07-11 17:15:42.587335,2025-07-11 17:21:12.883419,0 days 00:05:30.296084,0.947657354713602,5.0,0.7172391015513201,0.03602793895410511,11.0,278.0,0.012624866190206795,0.00978350273525241,32,0.011757552374734076,0.15421955645498917,,COMPLETE
